sku_name,sales_2021,sales_2022,sales_difference
shahi_buy one get one free Shahi Dal Moong,240,0,-240
RS_Plain Rusk,160,0,-160
RB_Dettol Germ Busting Kit-bf,200,50,-150
RB_Household Bundle,133,0,-133
CK_BF530-Underwear-Pack of 3-XL,119,0,-119
vitamin_TVC-BB Cream (Buy 2 Get Kojic Facewash Free,99,0,-99
RS_Baklawa 500gm,107,18,-89
RS_Honey Dry Fruit Halwa,52,0,-52
Adolphs_TT-1-Black-S,50,0,-50
CA_shirt-Small,50,0,-50
jn_900g,59,10,-49
RS_Soan Papri-250gm,51,7,-44
samsungGALAXY S-7 EDGE 32GB LTE,41,0,-41
Posh_CS0073-17,38,0,-38
Topline_Waheed Murad His Life and Our Times,46,10,-36
Lenovo Zuk,35,0,-35
Mardaz_MDZ-P-18-M,34,0,-34
RS_Chum Chum Tin,29,0,-29
RS_Habshi Halwa Tin,27,0,-27
Javaid_Nihari_with_7up,26,0,-26
vitamin_Ultra Creatine,26,2,-24
Dawlance_MD 10 + DWB 600,23,0,-23
Huawei Mate 8 With 4GB Ram,22,0,-22
HR_Soan Papdi 500g,21,0,-21
Huawei P8 lite,21,0,-21
RS_Kaju Barfi,34,13,-21
Telemall_MM-DR-HB-L,23,2,-21
TTmachine_pakistan05-M,20,0,-20
iu_Tickets General Enclosure-Islamabad,20,0,-20
Harry Potter and The Cursed Child-Hazir-Karachi,19,0,-19
MDF 018_Ajwa Dates 250 gm,19,1,-18
cr_CASHEW NUT PLAIN-500 GM,22,5,-17
BB_bundle_bf,17,1,-16
iPhone SE-16GB,16,0,-16
PNG_Pampers_10003452-Karachi,15,0,-15
West Point_WF-7901GL,15,0,-15
liberty_9780751565355,15,0,-15
samsungGALAXY J510F-2016 DS LTE,15,0,-15
trzwus_76111120200000_WN16-07(B,15,0,-15
Al Muhafiz Sohan Halwa Cashew,20,6,-14
Al Muhafiz Sohan Halwa Walnut,15,1,-14
Apple iPhone 6S Plus 16GB Silver,20,6,-14
Audionic_B-880,14,0,-14
adenwala_Deal No.3,14,0,-14
Al Muhafiz Sohan Halwa Almond,53,40,-13
ISn 100% Whey Protein Chocolate,24,11,-13
RS_Rehmat-e-Shereen Mix Mithai,13,0,-13
cr_PISTA PLAIN-500 GM,16,3,-13
emart_00-7,20,7,-13
Apple iPhone 6 Plus (128GB,12,0,-12
Apple iPhone 6S 128GB,12,0,-12
Changhong Ruba_32 Inches Black HD Ready LED TV - 32E3600,12,0,-12
GMZV_PlayStation 4 - 500GB - Region 2 - UK PAL - Black,16,4,-12
Karak_Honey 1 Kg,12,0,-12
UK_Sohan Halwa Tin Pack 400 Gms,12,0,-12
greenroot_Natural Khawa tea 50gm,12,0,-12
lenovo_80J2021CUE,12,0,-12
ARY Jewellers_1 Gram Millat Gold Coin --Karachi,11,0,-11
Apple iPhone 6 (128GB,11,0,-11
BO_shovel-truck-orange,13,2,-11
HP P1102 - White_18,11,0,-11
Huawei_P9 PLUS,11,0,-11
cr_ALMOND PLAIN-500 GM,12,1,-11
cr_CASHEW NUT ROASTED-500 GM,16,5,-11
Apple iPhone 6 (64GB,10,0,-10
Apple iPhone 6S Plus 16GB,10,0,-10
Changhong Ruba 32 Inches D4000i Smart LED,10,0,-10
Dany6-954217-555652,10,0,-10
Haier_HRF-305,10,0,-10
M&M_Deal 2,10,0,-10
RS_Double Delight,14,4,-10
Rajesh_RAJ76,11,1,-10
Sapphire_US0421,10,0,-10
dawlance_Health Zone Plus 30 - 1.5 Ton Air Conditioner,10,0,-10
sg_Combo BF-07,10,0,-10
shahi_Pack of 5 Shahi Nimco,10,0,-10
yankee_5038500008357,10,0,-10
Haier_LE 42B8000,9,0,-9
R&I_eInverter Series 18000BTU,9,0,-9
Trans2_LW 999 ,9,0,-9
iPhone 5s 16gb+Getiit Joy Band_bundle,9,0,-9
kansai_NeverWet,10,1,-9
Apple iPhone 6 Plus (64GB,8,0,-8
Eco Star_32U557,8,0,-8
Hawks_A22,8,0,-8
Mardaz_EN6YGNAF-green-M,8,0,-8
Paramount_9781910561324,9,1,-8
closecomfort_PC8,13,5,-8
emart_Nova Straightener + Curler,8,0,-8
greenroot_Fit Aura 7,8,0,-8
redspot_9789696230113,8,0,-8
stinnos_1825,8,0,-8
vitamin_Vita White,8,0,-8
xenium_RFC-20164,8,0,-8
Aladdin_Vision 10000 - Tape Bat - Beige,7,0,-7
Apple iPhone 6S 64GB,7,0,-7
BO_funballs-CR-100,7,0,-7
Infinix Hot S Hazir-Gold-Karachi,7,0,-7
PS4_Slim-500GB,9,2,-7
RS_Sohan Halwa_Tin-1000 GM,7,0,-7
RT-04-Grey&black-Double Duvet Cover Sheet Set-7 pcs,7,0,-7
UK_Habshi Halwa Tin Pack 400 Gms,7,0,-7
cr_AJWA DATES (400 GM,14,7,-7
emart_00-1,9,2,-7
majestic_15 Pieces Cookware Set,7,0,-7
samsung_32J4100,7,0,-7
sindbad_Sindbad Gift Card-3,7,0,-7
Apple iPhone 6S Plus 64GB,6,0,-6
BFV_Black Friday voucher Rs  2000,6,0,-6
CITY_Pajama-15 yrs - above - Size 44 ,6,0,-6
Chk_Green Chilli Pickle 300 gms with Free Mix Pickle 300 gms,6,0,-6
HR_Bhujia 200g,6,0,-6
ISn 100% Whey Protein - Pack of 2,6,0,-6
Life source_YD-24,8,2,-6
MDF 002_Pistachios Salted 250 gm,8,2,-6
MORG_GCS 27,6,0,-6
Mochi_MB-809-BL-32,6,0,-6
RUB_Kingston_16 gb USB Flash drive,6,0,-6
bed&rest_S7,6,0,-6
emarthazir_BBQ Pro Kit-Karachi,6,0,-6
kkc_Areej King Air Freshener,6,0,-6
lenovo_20EV0002UE,6,0,-6
lenovo_80J2001AUE,6,0,-6
samsungGALAXY S-7 32GB LTE,6,0,-6
Am-PTV_ATS-004-M,5,0,-5
AmanJee_PB001,5,0,-5
Fmate_Delhi Shahi Nehari (Boneless,5,0,-5
Gmart_Sport Heart Rate Bracele 1,5,0,-5
HR_Hara Chiwda 200g,5,0,-5
Honda_BikeCD70-Red,5,0,-5
JBS_IFAM-007,5,0,-5
Karak_Honey 1 Kg_discounted,5,0,-5
MDF 001_Almonds (American,5,0,-5
Mardaz_3green-Multicolor-XL,5,0,-5
Nvite for Fair Skin No Makeup Face Perfecting Palette,13,8,-5
PNG_Always_10000153-Lahore,5,0,-5
PNG_Pampers_10003449-Karachi,5,0,-5
PNG_Pampers_10004047-Lahore,5,0,-5
R&I_Generator 2.5KVG,5,0,-5
Samsung GALAXY NOTE-5,5,0,-5
Samsung Galaxy A5 A510F (2016,5,0,-5
Tmall_MM-DR-MK,5,0,-5
Vouch 365 2016,5,0,-5
cr_PUMPKIN SEEDS LARGE,5,0,-5
crest_Pelikano Junior Fountain Pen,7,2,-5
greenroot_Dry Hair Oil,5,0,-5
madinah_Pine nut (Chilgoza,5,0,-5
samsungGALAXY NOTE-5 LTE 32GB,5,0,-5
samsung_50 J5500,5,0,-5
samsung_K6000 49  ,12,7,-5
shoppingmania_Gold Rhinestone Heart Drop Necklace & Earrings,5,0,-5
sony_SLT-A58K,5,0,-5
vitamin_Royal Jelly 500,5,0,-5
Al Muhafiz Multani Sohan Halwa Ticky Pack,4,0,-4
Aladdin_BBQ_Skewers_6,4,0,-4
Am-PTV_VC-1029-M,4,0,-4
C-tee_Pack of 3 Independence Day Kids T-Shirts-M,4,0,-4
Fmate_Moong Daal Halwa,4,0,-4
Getiit_Joy,4,0,-4
Haier_HRF-355,4,0,-4
Haier_LE 32B8000,4,0,-4
Haier_LE 42B9000,4,0,-4
Honda_BikeCD70-Black,4,0,-4
ISN_Bundle,4,0,-4
Infinix Hot S Hazir-Grey-Grey-Karachi,4,0,-4
JBS_IFAM-009,4,0,-4
Mono Cruiser _Grand,4,0,-4
PNG_Pampers_10003447-Lahore,4,0,-4
Paramount_9789670618623,4,0,-4
R&I_Generator 6KVG,4,0,-4
RT-02-RED-Double Duvet Cover Sheet Set-4 pcs,4,0,-4
RUB_Kemei_KM-580 A,5,1,-4
Rajesh_RAJ0371,4,0,-4
Relaxsit_RS-56,4,0,-4
Samsung Galaxy S6 Edge Plus,4,0,-4
Samsung_32J4003,4,0,-4
Sapphire_US0432,4,0,-4
The Vitamin Company Kojic Acid Whitening Cream 40GM,4,0,-4
Tmall_ASA317,4,0,-4
UK_ Cake Rusk Original 350 Gms,4,0,-4
apple_MACMINI 1.4 GHZ DUAL CORE i5,4,0,-4
apple_MACMINI 2.3GHZ DUAL CORE i5,4,0,-4
babyw_2949,4,0,-4
coleman_Red Excursion Cooler 9 QTR,4,0,-4
cr_PISTA SALTED-200 GM,4,0,-4
dawlance_DWF-1600A,4,0,-4
duma_4561253300294,4,0,-4
edukaan_7159-A4 - 300 Pages,4,0,-4
greenroot_Men Taur Ultra ,4,0,-4
haier_HSU-18LK-E8,4,0,-4
interwood_HF-01NOR-MW-40672,4,0,-4
pak_ B-6,4,0,-4
redspot_9789696230151,4,0,-4
sanasafinaz_march16_2A-Nationwide Delivery,4,0,-4
shahi_Pack of 3 Shahi Chewra ,4,0,-4
sockoye_QG in Quarter Grey,4,0,-4
stinnos_A103,6,2,-4
un_Food Bundle_FB,4,0,-4
vitamin_Aloe Vera Plus,4,0,-4
AKL_A131130511_SS-164_Orange,3,0,-3
AKL_A131131293_FC-12,3,0,-3
AKL_A133119105-HCFT028-Double,3,0,-3
APC_UPS 1 kv SUA10001,4,1,-3
ARY Jewellers_1 Gram Millat Gold Coin --Lahore,3,0,-3
AmanJee_PB003,4,1,-3
Apple MacBook Air 13-inch 1.6GHz dual-core Intel Core i5,5,2,-3
Apple iPhone 6S 16GB,3,0,-3
Audionic_B-710,3,0,-3
BB_Hygienic-Home-Bundle,3,0,-3
BK1020200CF,3,0,-3
BO_5 Ft Sunset Glow Baby Swimming Pool,3,0,-3
BO_Piano-1,3,0,-3
CITY_Light Grey Belt Pant-Size L 40 - W 38,3,0,-3
CITY_White Frock Half Sleeves-5 - 6.5 yrs - Size 28,3,0,-3
CITY_White Shirt Full Sleeves Prep to X-8 - 10 yrs - Size 26,3,0,-3
CITY_White Shirt Half Sleeves Prep to X-10 - 12 yrs - Size 28,3,0,-3
Changhong Ruba 50 Inches D4000i Smart LED,3,0,-3
Changhong Ruba 55 Inches C5000i Smart LED TV_clear,3,0,-3
Chk_Buy 1 Get 1 Free: Mango Chutney 330 gms,3,0,-3
Cosmo_Proactiv Solution,3,0,-3
Dawlance_Microwave DW-131,4,1,-3
Eco Star_40U557,3,0,-3
Elan_W-M020,3,0,-3
Fmate_Chicken Aaloo Qeema,3,0,-3
Fmate_Chicken Shami Kabab,3,0,-3
Fmate_Palak Paneer ,3,0,-3
Fmate_Tawa Fry Fish/Chicken Batter Mix,3,0,-3
GMZV_Xbox One PAL -  500GB - Black,3,0,-3
HAIER_HSU-12HNH,3,0,-3
HOS_CNCMW100,4,1,-3
HP_Officejet ENVY 5530 Wireless (3-in-1,3,0,-3
Haier_HRF-300,3,0,-3
Haier_HWM 55-1010,3,0,-3
Haier_HWM 75AS,3,0,-3
Haier_HWM-85-7288,3,0,-3
Harry Potter and The Cursed Child-Hazir-Islamabad,3,0,-3
Kenwood_KEA1201,3,0,-3
L&S_meh023,3,0,-3
LALA_VTE-02,3,0,-3
Life source_MB-240,3,0,-3
MEGUIAR_G12711,4,1,-3
Paramount_8489738068,4,1,-3
Q&Q_GV54J302Y,3,0,-3
R&I_Split AC - Crystal Series 18000BTU,3,0,-3
Rubian_alphatronix-7019-1926235-1-zoom,3,0,-3
SCIFI_SC38816,3,0,-3
SIR_DMS02-2,3,0,-3
SNU_NA16E2-03,3,0,-3
Sapphire_US0413,3,0,-3
TLC_TAC-24CS/JET 2 ton,3,0,-3
Teenz_R-0124,3,0,-3
Tmall_MM-DR-MIB,3,0,-3
UK_Gulab Jamun Tin Pack  1000 Gms,3,0,-3
UnzeLondon_GS4354-9,3,0,-3
Zia_QT6A,3,0,-3
adenwala_Deal No.4,3,0,-3
ajmery_HQT906-Pink--,3,0,-3
akl_A131133511_MS-11_Beige,3,0,-3
asimjofaeid_AJL-1A,3,0,-3
aw_Octane Booster-12oz./354ml ,3,0,-3
cr_RAISIN SUNDER KHANI-500 GM,3,0,-3
dawlance_9108 DELUXE Refrigerator,3,0,-3
dawlance_DW-6500 Grey,3,0,-3
edukaan_7032-A4 - 6 Subjects,3,0,-3
edukaan_7069-A4 - 300 Pages,3,0,-3
emart_0-42,3,0,-3
fitn_748927028614,3,0,-3
gree_12CIT,3,0,-3
gree_12LM4,3,0,-3
gree_18LM4,4,1,-3
greenroot_Anti Dandruff and Hair Fall,3,0,-3
greenroot_Organic Honey (250 ml,3,0,-3
iPhone SE-64GB,3,0,-3
liberty_9780521736374,3,0,-3
moshi_99MO023126,3,0,-3
nabila_Nlight FOR creamy,8,5,-3
prime_T11-GR Black-M,3,0,-3
s_tv_KLV-32R302C,4,1,-3
samsungGALAXY S-7 EDGE 32GB Black,3,0,-3
sanasafinaz_march16_10A-Nationwide Delivery,3,0,-3
sanasafinaz_march16_5A-Nationwide Delivery,3,0,-3
sony_SLT-A58Y,3,0,-3
stinnos_957,3,0,-3
stitchers_TnT 012-L,3,0,-3
tcl_40 inch D2720 Full HD LED TV,3,0,-3
viewsonic_PJD5134,3,0,-3
vitamin_Breast Enlargement,3,0,-3
vitamin_Super Ginseng 800,3,0,-3
voucher,3,0,-3
ww_WSB-5-Orgional Wood Colour,3,0,-3
 Huawei Mate 8,2,0,-2
AKL_A131128777_SS-33_Yellow,2,0,-2
AKL_A131130507_SS-161_Blue,2,0,-2
AKL_A131131284_FC-03,2,0,-2
AKL_DL-02-YELLOW,2,0,-2
AT-CTT-28,2,0,-2
AU_WS017,3,1,-2
Aladdin_Nice_Dicer_Plus,2,0,-2
Aladdin_snap_grip_wrenches,2,0,-2
Apple iPhone 6S Plus 128GB,2,0,-2
Ar_KN034-S,2,0,-2
Audionic X-BOOM 5 Black,2,0,-2
Audionic_B-334,4,2,-2
Audionic_Rb 104,2,0,-2
BAHRIA COLLEGE_Navy Blue Elastic Pant-8 - 9 yrs - Size 32,2,0,-2
BBS_A086,3,1,-2
BBS_M009,2,0,-2
BFV_Black Friday voucher Rs  1500,2,0,-2
BHA_K.E-8000,2,0,-2
BK7010400AG,2,0,-2
BO_Guitar-Pktoy-Wooden,2,0,-2
BP_PS03940-Green,2,0,-2
BP_PS19825-Spongebob,2,0,-2
Bata_Power-8386002-43-9,2,0,-2
Bparcel_85W-SAFE2,2,0,-2
Bparcel_HP-90W,2,0,-2
Bparcel_N4050,2,0,-2
CITYN_White Kameez Shalwar with Full Sleeves-13 - 15 yrs - Size ,2,0,-2
CITY_Pajama-9 - 10 yrs - Size 34,2,0,-2
CITY_White Frock Half Sleeves-6.5 - 8 yrs - Size 30,2,0,-2
Careem_25000 Credits,2,0,-2
Careem_50000 Credits,2,0,-2
Casio_EFR-549SG-1AVUDF,2,0,-2
Castillo_CWM-326,2,0,-2
Ctees-Black Zip- Up Hoodie-M,2,0,-2
Dawlance_DW-540 AF,2,0,-2
Emo_SS-21775-40,2,0,-2
Epson_L1800,2,0,-2
FHM_Fluffy Cocao-SOFA SET,2,0,-2
FHM_Mild LCD,2,0,-2
Farah_7-B,2,0,-2
Fmate_Chicken Biryani (Boneless,2,0,-2
Fmate_Sooji Halwa,2,0,-2
GMZV_Xbox 360 Ultra Slim - 4GB -Unmodified - Black,2,0,-2
Getiit_Mate,2,0,-2
Gloria_1506A,2,0,-2
Gree_24CZ8,2,0,-2
HGS_White Legging-4 - 5 yrs - Size 24,2,0,-2
HOS-m_CKEIM100,2,0,-2
HOS_ESW90,2,0,-2
HOS_IMPFW100,2,0,-2
HOS_JPGCW100,3,1,-2
HOS_RLRW100,2,0,-2
HP_ 15-AB202TX _clear,2,0,-2
HP_ 15-AC107TU _clear,2,0,-2
HP_ 15-AC110TU Ã‚Â ,2,0,-2
HP_HP 706n A3 black,2,0,-2
HTC_DESIRE 628,2,0,-2
Haier_HSU-18HZE-R2-DB DC Inverter,2,0,-2
Haier_HSU-18LK-E10BL,2,0,-2
Haier_HWM-75-918,2,0,-2
IKEA_70098989,2,0,-2
Infinix Hot 4 Hazir-Gold-Karachi,2,0,-2
Infinix Hot 4 Hazir-Gold-Rawalpindi,2,0,-2
J&J_JJCC-017C,2,0,-2
JBS_CRY-019,2,0,-2
JBS_IFAM-032,2,0,-2
Khouzh_KKAS-02-13 to 15 M,2,0,-2
Kingston_Kingstondtse9 - 16 Gb - Silver,2,0,-2
L&L_LLABF722,2,0,-2
Life source_LS-7001,3,1,-2
Loreal_Revitalift Night Cream - 50 ml,2,0,-2
MACBOOK AIR 13-INCH 256 GB Flash Drive,4,2,-2
MDF 004_Cashews Roasted 250 gm,2,0,-2
MDF 005_Cashews Plain 250 gm,2,0,-2
MEGUIAR_G13616,2,0,-2
MEGUIAR_G19216,2,0,-2
MEGUIAR_X1030EU,2,0,-2
MHS_Oxford-Bed Sheet - [Size] Double,2,0,-2
MORG_GCS 01,2,0,-2
MORG_GCS 30,2,0,-2
MORG_GCS 31,2,0,-2
MT_SOL 40D33,2,0,-2
Mac Mini 2.8GHz,2,0,-2
Naushemian_#0027-Blue-M,2,0,-2
Naushemian_#0028-Offwhite-M,2,0,-2
Naushemian_#0029-Pstachio Green-M,2,0,-2
Naushemian_#0030-Light Red-M,2,0,-2
Nova_NLJ-1001,2,0,-2
PC_SCHL-FLT-003-6-7,2,0,-2
PHILLIPS_HP8698,2,0,-2
Paramount_9781107657823,2,0,-2
Paramount_9781444175349,2,0,-2
Philips_6540,2,0,-2
Popular International_On call Extra Meter,2,0,-2
Prime_T12-BLACK-2XL,2,0,-2
PucaM_SS-25-BLACK-43,2,0,-2
Q&Q_DA05J101Y ,2,0,-2
R&I_Generator 5KVG,2,0,-2
RAJESH_RAJ184,2,0,-2
RBC_9789694074283,2,0,-2
Relaxsit_RS-40,2,0,-2
Relaxsit_RS-67,4,2,-2
SCIFI_Disney Music_SC39808,2,0,-2
SCIFI_SC301PGP-Princess ,2,0,-2
SCIFI_SC4530SPD-Spider Man ,2,0,-2
SNU_Es16e2-02,2,0,-2
Samsung Galaxy S6 Edge (32GB,2,0,-2
Samsung_40J5200,2,0,-2
Samsung_S7 Edge-Silver,2,0,-2
StPat_Belt Pant_13 - 14 yrs-Size 40/36,2,0,-2
StPat_Belt Pant_14 - 15 yrs-Size 40/36,2,0,-2
TMS_Pink Kameez Half Sleeves-13 - 15 yrs - Size 40,2,0,-2
Tehzeeb_123-E,2,0,-2
Telemall_MM-PC-0002,2,0,-2
Tmall_MM-DR-ND,2,0,-2
Tmall_MM-DR-SPSB,2,0,-2
Topline_Iqbal his life and Our Time,3,1,-2
Transcend_64GB JetFlash 810,2,0,-2
Triumph_Doreen-Black- 36C,2,0,-2
Triumph_Tri-action 36 P-Black- 36C,2,0,-2
Truck Art Porcelain Mug M2,2,0,-2
UK_Kala Jamun Tin Pack 1000 Gms,2,0,-2
UK_Namkino Mix Nimco 5 Pcs Gift Pack,2,0,-2
WW_WHP-WP-1,2,0,-2
Z&A_ZEES-0043,2,0,-2
Z&A_ZEES-0139,2,0,-2
Zia_AD12,2,0,-2
Zia_AW6,2,0,-2
Zia_QT17,2,0,-2
Zia_TK4,2,0,-2
Zuk Z1-Grey-Lahore,2,0,-2
adenwala_Deal No.1,2,0,-2
adenwala_Deal No.5,2,0,-2
akl_A132116093_GMSU171-M,2,0,-2
alkhair_Ajwa Dates 250gm-1,2,0,-2
alrafa_Sughai-Dates-400g,2,0,-2
asimjofaeanew_2B,2,0,-2
asimjofaeid_AJL-3B,2,0,-2
audionic6-954217-564364,2,0,-2
audionic_6954217686844,2,0,-2
aw_CRC DUST FREE -400ml  ,2,0,-2
babyw_toy$9,2,0,-2
barico_BS034-,2,0,-2
bogo_Lahore,2,0,-2
casio_MTP-1381D-7AVDF,2,0,-2
cn_clc_ AS-220RTS,2,0,-2
crocs_200375-ocean-C10,2,0,-2
dawlance_9170WB Graphite Grey,2,0,-2
dawlance_91996 - H-ZONE PLUS Refrigerator with Dawlance MD-7 20L,2,0,-2
edukaan_7101-A4 - 300 Pages,2,0,-2
edukaan_7157-A4 - 300 Pages,2,0,-2
emarthazir_BBQ Pro Kit-Lahore,2,0,-2
fitn_631656703276,2,0,-2
fitn_631656708554,2,0,-2
fitn_748927053531,2,0,-2
gree_12CZ8,2,0,-2
gree_18CZ8,2,0,-2
greenroot_Oil For Oily Hair,2,0,-2
greenroot_Weight plus,2,0,-2
guess_W0289L1,2,0,-2
hijabh_0120-BC-759 (1,2,0,-2
infinix_Note 2 Grey,2,0,-2
interwood_HA-K17W105-23575,2,0,-2
interwood_HF-19-C5929-22200,2,0,-2
iphone_7-plus-32gb-wof-Matt Black,2,0,-2
jackpot_Microwave Oven -JP-932 ,2,0,-2
kke_SCF690-27,2,0,-2
lalqila_Achar Gosht-850gm,2,0,-2
lalqila_Mughlai Pasandy-850gm,2,0,-2
lalqila_Shahi Nihari-850gm,2,0,-2
lamp_Lamp Shade Round 4 ,2,0,-2
lenovo_80HR00AKUE,5,3,-2
liberty_9780241957110,2,0,-2
liberty_9780521677004,2,0,-2
liberty_9781447218890,2,0,-2
liberty_9789351361725,2,0,-2
liberty_9789351365938,2,0,-2
liberty_Brown Zipper Jacket for Boys / Girls-16 yrs - above - Si,2,0,-2
liberty_Maroon Pullover for Boys-4 - 5 yrs - Size 24,2,0,-2
madela_ DISPOSABLE BRA PADS,2,0,-2
mitsubishi_1.5 ton SRC 18CLK,2,0,-2
mt_BL001321-32Oz,2,0,-2
noritake_NT4276M,2,0,-2
phub_Armani Mania ,2,0,-2
phub_Chance Eau Tendre  by Chanel 150mlml EDT,2,0,-2
phub_Obsession by Calvin Klein 100ml EDP,2,0,-2
redspot_9789696230007,2,0,-2
redspot_9789810550127,2,0,-2
redspot_9789810594718,3,1,-2
renna_LL-BBP-WN,2,0,-2
rhythm_G1107S-04,2,0,-2
rute2_4533,2,0,-2
rute2_SlimStyles MR Vanilla ,2,0,-2
samsung_50J5100,2,0,-2
sanasafinaz_march16_11A-Nationwide Delivery,2,0,-2
